title,tag,category,date,check_result
【錯誤】網傳「再麻煩大家幫他們衝一下，4/14前領到十萬元捐款！看失智公益微電影，每點一次，台哥大就捐1元給切膚之愛基金會」？,錯誤,生活,發布日期／2022年4月11日,"經查：【報告將隨時更新 2022/4/11版】一、網傳連結為切膚之愛社會福利慈善事業基金會在2016年發佈的公益微電影，宣導失智和相關服務，並非近期捐款活動。

二、切膚之愛基金會表示，民眾仍可透過微電影認識失智症，但目前無法靠點閱、分享捐款給基金會。

網傳活動為2016年活動，目前已經過時，因此，為「錯誤」訊息。"
【錯誤】網傳「中華民國衛福部前部長：楊志良提醒大家～再次強調：敬請別出門，端午節（6月25日）過後，再看疫情控制情況」？,錯誤,生活,發布日期／2022年4月12日,經查：【報告將隨時更新 2022/4/12版】一、網傳訊息為舊謠言，於2020年2月即曾流傳，每逢本土疫情流行就會捲土重來，並有冠名陳時中、楊志良等不同的版本。二、楊志良表示，他並沒有網傳訊息的發言，這是假訊息。因此，傳言為「錯誤」訊息。
【錯誤】網傳「重大好消息！新加坡聯合早報獨家報導：4月4日起世衛組織認定新冠患者將不以核酸陽性為依據，疫情將於年內宣告結束」？,錯誤,健康,發布日期／2022年4月8日,經查：【報告將隨時更新 2022/4/8版】一、新加坡聯合早報並無發佈網傳所稱的「獨家報導」，網傳「譚德賽宣布世衛更改確診依據、棄用核酸檢測、改以肺部影像診斷」是虛構捏造的訊息。二、專家指出，目前新冠疫情流行的變異株確實有較多的無症狀或輕症患者，對健康年輕人可能較不具威脅，但對於年長者、慢性病等族群，若感染新冠病毒仍有較高的重症、死亡率，傳言說新冠病毒致病率大大低於流感，並不正確。傳言假借冠名、捏造不實資訊，因此，傳言為「錯誤」訊息。
【部分錯誤】網傳「手機除了打電話以外，還能做4件事情，你以前不一定知道，我們可能或多或少的知道一些緊急情況下的自救辦法」？,部分錯誤,生活,發布日期／2022年4月12日,經查：【報告將隨時更新 2022/4/12版】一、傳言指稱的「112」號碼為全球行動電話均可撥打的緊急救難號碼，即使無SIM卡，只要手機尚有電力並在電信信號範圍內，均可撥打「112」。二、手機撥打「*#06#」會出現國際行動裝置識別碼「IMEI」，代表手機身分證。民眾的手機若遺失，建議先向電信業者停止通話服務，再向警方報案，並提供「IMEI」碼，但電信業者無法協尋。警方實務上也不會用此組號碼尋找手機。三、汽車鑰匙業者表示，汽車遙控鎖與行動電話的頻率完全不同。傳言稱「利用兩支不同空間的手機控制遠端的備用鑰匙開啟車門」方法無效。四、通訊業者表示，傳言指稱「手機電量不足按【*3370#】鍵可重啟增加電量」並不正確。不建議民眾亂按此號碼。傳言指稱的「利用兩支手機控制備用鑰匙開車門」、「按特定號碼可增加電量」、「電信業者用IMEI找到手機」並不正確，因此，為「部分錯誤」訊息。
【錯誤】網傳「俄羅斯總統蒲亭對於芬蘭最近想要加入北約，給予嚴厲警告，稱芬蘭面臨嚴重後果。芬蘭85後美女總理桑娜.馬林強硬表示：儘管放馬過來！芬蘭地下幾米深處埋葬著20萬俄羅斯人，歡迎你來陪伴你的祖先們」？,錯誤,國際,發布日期／2022年4月13日,經查：【報告將隨時更新 2022/4/13版】一、網傳說法來自中國社群平台，再傳到台灣社群平台，隨後被台灣媒體引用報導。二、駐台芬蘭商務辦事處回覆查核中心詢問時表示，芬蘭總理馬林沒有講這句話，傳言說法不正確。三、查核中心檢視馬林推特、芬蘭政府推特，以及芬蘭媒體、國際媒體與國際通訊社，都沒有出現傳言所稱的訊息報導。傳言是假借冠名，因此，為「錯誤」訊息。
【錯誤】網傳「北約歐洲司令被俄羅斯俘虜，美英求俄羅斯放人被拒」？,錯誤,國際,發布日期／2022年4月12日,經查：【報告將隨時更新 2022/4/12版】一、歐洲盟軍最高指揮部（Supreme Headquarters Allied Power Europe）公共事務辦公室回覆查核中心採訪表示，網傳稱克勞席爾在烏克蘭，或稱在馬立波執行軍事行動被捕的說法是完全錯誤。克勞席爾最近一次訪問烏克蘭為2021年7月，而烏克蘭沒有北約指揮的部隊。二、經查，北約盟軍地面司令部司令克勞席爾2022年4月6日在土耳其出席北約舉辦的會議，從北約盟軍地面司令部推特、克勞席爾LinkedIn等，都可以看到克勞席爾多張參與會議的照片；克勞席爾在LinkedIn也直接回覆傳言是錯誤訊息。網傳訊息為虛構捏造資訊，因此，為「錯誤」訊息。
【事實釐清】網傳「洗澡時要注意，熱水會散發出很多水蒸氣和水霧，特別是那種封閉的浴室，沒有那種排氣機的。水霧多了很有可能會造成窒息」？,事實釐清,生活,發布日期／2022年4月12日,經查：【報告將隨時更新 2022/4/12版】一、專家表示，影片中指稱的「浴室洗澡產生水蒸氣造成缺氧狀況」確實可能發生。較可能發生在封閉、沒有通風設備的室內淋浴空間，若水蒸氣過多會降低空氣含氧量，導致民眾缺氧。二、專家表示，現代家中浴室通常會有空調設備、窗戶。只要保持空氣流通，淋浴產生的水蒸氣不致於會造成民眾缺氧風險。三、專家提醒，民眾洗浴時，應注意通風，可以避免水蒸氣過多而產生缺氧不適的情況。若洗澡期間有頭暈、呼吸不順情形，應留意浴室通風狀況，以及適時向外求救。
【錯誤】網傳「普丁大帝的金融反擊 俄羅斯宣布盧布與黃金掛鉤三個月」、「俄羅斯央行宣布：即日起盧布正式與黃金掛鉤」、「盧布早已宣布掛鉤黃金」？,錯誤,國際,發布日期／2022年4月13日,經查：【報告將隨時更新 2022/4/13版】俄羅斯央行在3月25日公告，宣稱從3月28日至6月30日，以每1克5000盧布固定價格向信貸機構購買黃金，4月7日再公告改以協商價格購買黃金。金融專家解讀，俄國央行的措施是為了維持盧布幣值穩定，與恢復黃金本位制無關。目前也未有盧布要變成金本位制的訊息。傳言錯誤推論為俄國央行「宣布掛鉤黃金」，因此，傳言為「錯誤」訊息。
【錯誤】網傳「包裝水的水源可以從瓶蓋分辨。礦泉水源是藍色、自來過濾水是白色、海水是綠色，這是根據政府法規所做的顏色區分」？,錯誤,生活,發布日期／2022年4月13日,經查：一、〈食品安全衛生管理法〉規定，包裝水要明確標示水源別，但並無法規要求要以瓶蓋顏色來區別包裝水水源。二、網傳影片的原始出處為媒體2014年發布的舊報導，但報導未宣稱「可用包裝水的瓶蓋顏色來區別水源」。因此，傳言為「錯誤」訊息。
【錯誤】網傳影片「4/11高雄大順路鼎山街口，警匪駁火22槍，歹徒1死，台灣媒體死光了，沒有一家報導！高雄治安好棒棒」？,錯誤,生活,發布日期／2022年4月13日,經查：網傳影片原始事件是2018年3月27日高雄警方凌晨攔查可疑車輛時，車座上的民眾拿槍試圖反抗，爆發警匪槍戰，並非近期發生的事件。傳言挪用舊影片，卻誤稱「發生在近期4月11日」，因此為「錯誤」訊息。
